userId,reactTime,category,type,hasAtt,realId,emailCode
1,3.97903478029184,Social,Reciprocation,0,Scam,026425
3,2.70508421538398,General,Type,0,Safe,021S
1,2.92313513485715,Ideological,Scarcity,1,Scam,008674e
2,5.94891904434189,Security,Commitment/Consistency,1,Safe,021143S
4,0.513263386441395,General,Type,0,Safe,013S
2,4.40424371464178,Finance and Banking,Type,0,Safe,032S
2,1.88219264452346,Security,Social Proof,0,Safe,002253cS
1,1.82870647823438,Social,Social Proof,1,Safe,028455S
1,1.61442180350423,Social,Commitment/Consistency,0,Safe,029045S
1,2.92928806808777,Social,Social Proof,1,Scam,028455
3,2.57212588586845,Job Offer,Type,0,Scam,028
2,5.4879170586355,Social,Authority,1,Scam,009735a
3,6.34434795379639,Ideological,Reciprocation,1,Scam,019224c 
2,2.67538919299841,Security,Authority,1,Scam,000433a
3,2.67618497624062,Finance and Banking,Type,0,Safe,008S
2,4.60787527821958,General,Type,0,Safe,030S
2,3.64563827379607,Finance and Banking,Type,0,Safe,006S
1,3.18682783422992,Ideological,Reciprocation,0,Safe,019224cS
4,5.97874272847548,Finance and Banking,Type,0,Safe,001S
3,2.71497131069191,General,Type,1,Safe,027S
3,3.53486529877409,Finance and Banking,Type,1,Scam,016
2,4.49794571474195,Social,Perceptual Contrast,1,Scam,027215
4,2.02701462828554,Finance and Banking,Type,0,Scam,003
1,2.96438555349596,General,Type,0,Safe,014S
1,1.5635019231122,Ideological,Reciprocation,1,Safe,010224bS
2,1.98029195936397,Ideological,Scarcity,0,Scam,010174a 
4,1.53883793158457,Security,Social Proof,1,Scam,024853
3,2.01165395928547,Finance and Banking,Type,0,Scam,005
4,3.37849751091562,Finance and Banking,Type,0,Scam,004
1,1.89384296536446,Social,Authority,0,Safe,002135dS
2,3.50665633403696,Social,Perceptual Contrast,0,Safe,027215S
2,2.57054854137823,Ideological,Authority,1,Safe,023234S
3,1.65157357393764,Finance and Banking,Type,0,Scam,023
2,2.33260237704962,Security,Liking,1,Safe,001963cS
4,2.37248713057488,General,Type,0,Safe,009S
2,2.86781297833659,Finance and Banking,Type,0,Safe,003S
2,4.9790311420802,Social,Perceptual Contrast,0,Safe,027115S
2,1.77863563178107,Security,Social Proof,0,Safe,024853S
2,4.62459168978967,Social,Reciprocation,1,Scam,026325
3,1.65892778942361,Finance and Banking,Type,0,Scam,014
3,3.8689371959772,University Phishing Emails,Type,0,Scam,040
2,2.22484947601333,Finance and Banking,Type,0,Safe,022S
2,2.99876861972734,Ideological,Social Proof,1,Safe,008754eS
2,3.95168841024861,Ideological,Social Proof,0,Scam,021554
2,3.17938431631774,Finance and Banking,Type,0,Safe,004S
2,4.06232213950716,Ideological,Reciprocation,1,Scam,010224b
2,2.79414546885528,Ideological,Liking,1,Safe,019364cS
4,1.25884126522578,Security,Perceptual Contrast,1,Scam,006713b
3,2.6558018757496,Security,Reciprocation,0,Scam,026823
3,3.51296637346968,Job Offer,Type,0,Safe,037S
4,1.42455901158974,General,Type,1,Safe,002S
3,3.24241128307767,Ideological,Perceptual Contrast,1,Scam,027414
